logged_at,t_min,decision,basis_weight_pv,pct_dev,risk_score,recommended_setpoints,operator_note
2026-07-26T21:32:20,24.50,REJECTED,106.37,20.87,0.000,"{'Stock Flow (L/min)': 242.65, 'Filler Flow (L/min)': 30.13, 'Dryer Steam Pressure (bar)': 3.77, 'Machine Speed (m/min)': 792.63}",audit is ongoing
2026-07-26T21:32:29,24.50,ACCEPTED,106.37,20.87,0.000,"{'Stock Flow (L/min)': 242.65, 'Filler Flow (L/min)': 30.13, 'Dryer Steam Pressure (bar)': 3.77, 'Machine Speed (m/min)': 792.63}",audit is ongoing
